t010100_3040	Saaren maat saroin jaettu	skvr03103090,skvr03106140,skvr03106170
t010100_3150	Savosta nainut	skvr05306480,skvr07113690,skvr07113700,skvr07114340,skvr07114650,skvr07122920,skvr07122930,skvr07122990,skvr07131491,skvr07131490,skvr13028520
t010100_3160	Sedän soitto pidoissa	skvr13011160
t010100_3180	Seppäseni, selväseni, tao minulle	skvr04134710,skvr13015060
t010100_3190	Sepäksi neuvottu	skvr07114710,skvr07114720
t010100_3200	Silta ja kirkko	skvr03103520,skvr03103530,skvr03105460,skvr03107570,skvr03113520,skvr03113530,skvr03119090,skvr03119180,skvr03119580,skvr03119600,skvr03119620,skvr03119800,skvr03120040,skvr03120140,skvr03120820,skvr03122180,skvr03127300,skvr03133730,skvr03134240,skvr03139450,skvr03143370,skvr03145690,skvr03145700,skvr04113140,skvr04114310,skvr04105840,skvr04105850,skvr04119040,skvr04125140,skvr04125650,skvr04140250,skvr04140560,skvr04140680,skvr15107760,skvr15107770,skvr15107780,skvr15107810
t010100_3210	Sinisiipi linnukkainen	skvr04111000,skvr04101120,skvr04100450,skvr04100650,skvr04137680,skvr04137690,skvr04137700
t010100_3220	Sinon kylväjä	skvr04114140,skvr04101750,skvr04105050,skvr04100940,skvr04117910,skvr04118830,skvr04125820,skvr04126210,skvr04129370,skvr04130240,skvr04134240,skvr04137500,skvr05106770,skvr05106791,skvr05106790,skvr05106980,skvr05109410,skvr05301170,skvr13014740,skvr13008590
t010100_3230	Sodan kuvaus	skvr03101140,skvr03111670,skvr03101860,skvr03102540,skvr03102990,skvr03104740,skvr03104790,skvr03105000,skvr03105880,skvr03100800,skvr03109840,skvr03109960,skvr03113810,skvr03113830,skvr03113890,skvr03113900,skvr03113940,skvr03114030,skvr03114040,skvr03118360,skvr03118690,skvr03119460,skvr03120940,skvr03122760,skvr03122920,skvr03123430,skvr03125910,skvr03126870,skvr03127550,skvr03129250,skvr03129260,skvr03132710,skvr03133530,skvr03134360,skvr03134370,skvr03135300,skvr03136720,skvr03138320,skvr03142080,skvr04111700,skvr04111740,skvr04111750,skvr04113090,skvr04114190,skvr04114260,skvr04105730,skvr04105770,skvr04106110,skvr04100610,skvr04108060,skvr04108200,skvr04117840,skvr04120980,skvr04121060,skvr04121080,skvr04121090,skvr04121110,skvr04121140,skvr04121160,skvr04121770,skvr04123910,skvr04123920,skvr04124730,skvr04125540,skvr04127410,skvr04127840,skvr04128430,skvr04137870,skvr04139410,skvr04139610,skvr04139620,skvr09200220,skvr05101160,skvr05104640,skvr05104680,skvr05104690,skvr05104700,skvr05104720,skvr05104740,skvr05104760,skvr05104780,skvr05104790,skvr05104800,skvr05104810,skvr05104830,skvr05104840,skvr05104870,skvr05104940,skvr05104960,skvr05105280,skvr05105420,skvr05108780,skvr05108870,skvr05108940,skvr05109010,skvr05210950,skvr05210960,skvr05211000,skvr05200310,skvr05300891,skvr05300890,skvr05300910,skvr05300921,skvr05300920,skvr06103960,skvr06109510,skvr07100680,skvr07100820,skvr07100840,skvr07100850,skvr07100860,skvr07113260,skvr07127370,skvr13010330,skvr13011360,skvr13011370,skvr13011380,skvr13011910,skvr13011930,skvr13013900,skvr13004230,skvr13005280,skvr13005290,skvr13006320,skvr13006340,skvr13006350,skvr13006370,skvr13006590,skvr13027111,skvr13104100,skvr15109000,skvr15109040,skvr15109060,skvr15109110,skvr15109130,skvr15109310,skvr15109520,skvr15109530,skvr15109540,skvr15109550,skvr15109560,skvr15109570
t010100_3240	Soitan suolla mennessäni	skvr04101600,skvr05101200,skvr05202460,skvr07136200,skvr13011410,skvr13001170,skvr13003200,skvr13004350,skvr13004420,skvr13004450,skvr13004460,skvr13004470,skvr13004480,skvr13006550,skvr13105351
t010100_3250	Soittajalle menijä	skvr13013210
t010100_3260	Soittamalla nukuttaminen	skvr03112590,skvr03140490,skvr04100930
t010100_3270	Soljella sotaan	skvr03102200,skvr04110750,skvr04103420,skvr04103990,skvr04100420,skvr04105380,skvr04107520,skvr04116610,skvr04117220,skvr04122780,skvr04123870,skvr04129440,skvr04131980,skvr05108570,skvr05108580
t010100_3280	Sormin soutaminen	skvr02101731,skvr02101732,skvr02101730,skvr02101751,skvr03101210,skvr03101850,skvr03102130,skvr03102140,skvr03103510,skvr03105420,skvr03107280,skvr03107450,skvr03112760,skvr03112790,skvr03113330,skvr03113340,skvr03115090,skvr03122520,skvr03133410,skvr03139160,skvr03139590,skvr03141120,skvr03142520,skvr04111410,skvr04101290,skvr04100020,skvr04103190,skvr04105360,skvr04108260,skvr04108860,skvr04115790,skvr04116520,skvr04116940,skvr04118340,skvr04119650,skvr04120440,skvr04120460,skvr04120870,skvr04124030,skvr04140330,skvr04141370,skvr04141420,skvr09200300,skvr05110770,skvr05113270,skvr05108590,skvr05108600,skvr05108610,skvr05108620,skvr05108640,skvr05108650,skvr05108660,skvr05108670,skvr05108680,skvr05210350,skvr05224130,skvr05224140,skvr05204191,skvr05311091,skvr05311090,skvr05301611,skvr05301610,skvr05301620,skvr05301631,skvr05301630,skvr05301640,skvr05303580,skvr05307711,skvr05307710,skvr06102000,skvr06102040,skvr06102920,skvr07122560,skvr07127230,skvr13011440,skvr13011450,skvr13011460,skvr13011470,skvr13011480,skvr13011490,skvr13011510,skvr13011520,skvr13011530,skvr13011540,skvr13011560,skvr13011570,skvr13011590,skvr13002090
t010100_3290	Sormus kadonnut	skvr03102200,skvr03103010,skvr03105170,skvr03108790,skvr03115750,skvr03121270,skvr03123550,skvr03123560,skvr03125230,skvr03125610,skvr03126090,skvr03127190,skvr03127420,skvr03129160,skvr03131970,skvr03134400,skvr03137250,skvr04111040,skvr04101460,skvr04104220,skvr04107480,skvr04115040,skvr04124660,skvr06102430,skvr06102440,skvr06102450,skvr06102460,skvr06102470,skvr06102480,skvr06102490,skvr06102500,skvr06102510,skvr06102520,skvr06102840,skvr06103260,skvr06103270,skvr06103290,skvr06164730,skvr06164740,skvr07113650,skvr13011600,skvr13013020,skvr13104790,skvr13104800
t010100_3300	Sorsanmunasta neito	skvr03128320
t010100_3310	Sota Narvan tienoilla	skvr03111490,skvr03103160,skvr03103171,skvr03103172,skvr03103170,skvr03103190,skvr03105660,skvr03107290,skvr03100740,skvr03100070,skvr03109960,skvr03109970,skvr03109980,skvr03109990,skvr03113980,skvr03113990,skvr03114000,skvr03114010,skvr03114020,skvr03118020,skvr03119460,skvr03122920,skvr03123430,skvr03129430,skvr03131410,skvr03133450,skvr03133640,skvr03134350,skvr03139040,skvr03139640,skvr03140150,skvr03140380,skvr03140550,skvr03140570,skvr03140880,skvr03141040,skvr04113390,skvr04113860,skvr04121090,skvr04126430,skvr13104650,skvr15108320,skvr15108990,skvr15109000,skvr15109010,skvr15109020,skvr15109030,skvr15109040,skvr15109050,skvr15109060,skvr15109070,skvr15109080,skvr15109090,skvr15109100,skvr15109110
t010100_3320	Sotaan mennyttä veljeä katsomaan	skvr03111250,skvr03103090,skvr03103100,skvr03106210
t010100_3330	Sotaan rikas, köyhä kotiin	skvr03103040,skvr03135300
t010100_3340	Sotaanlähtijän virsi	skvr07127360
t010100_3350	Sotamiehenotto	skvr03110010,skvr03110020,skvr03101060,skvr03101070,skvr03101280,skvr03102430,skvr03102470,skvr03102481,skvr03102480,skvr03102490,skvr03102500,skvr03102510,skvr03102540,skvr03104620,skvr03104950,skvr03100040,skvr03105240,skvr03105310,skvr03105860,skvr03100590,skvr03100660,skvr03109780,skvr03109840,skvr03109850,skvr03109860,skvr03109870,skvr03109880,skvr03109890,skvr03109900,skvr03109910,skvr03109920,skvr03109930,skvr03109940,skvr03109950,skvr03113830,skvr03113920,skvr03113930,skvr03113940,skvr03113950,skvr03113960,skvr03113970,skvr03113990,skvr03114030,skvr03114040,skvr03114050,skvr03114060,skvr03118130,skvr03118230,skvr03118690,skvr03118850,skvr03120550,skvr03120940,skvr03122760,skvr03123590,skvr03123630,skvr03123700,skvr03123870,skvr03123880,skvr03123890,skvr03124250,skvr03125590,skvr03125710,skvr03125850,skvr03126580,skvr03126960,skvr03127040,skvr03127390,skvr03127970,skvr03128200,skvr03128580,skvr03129090,skvr03129550,skvr03131600,skvr03131870,skvr03132760,skvr03133120,skvr03133530,skvr03133760,skvr03134010,skvr03134340,skvr03135300,skvr03136050,skvr03136090,skvr03136330,skvr03136550,skvr03137020,skvr03137810,skvr03138280,skvr03139830,skvr03139990,skvr03140140,skvr03141080,skvr03142080,skvr03142400,skvr04101030,skvr04111660,skvr04111670,skvr04111700,skvr04111710,skvr04111740,skvr04111750,skvr04111760,skvr04111820,skvr04111830,skvr04111840,skvr04111850,skvr04113020,skvr04113060,skvr04113090,skvr04113100,skvr04113870,skvr04113960,skvr04114190,skvr04114380,skvr04104590,skvr04104650,skvr04106190,skvr04106220,skvr04106350,skvr04106370,skvr04107640,skvr04108060,skvr04108200,skvr04108290,skvr04109040,skvr04109100,skvr04115490,skvr04116330,skvr04117030,skvr04117820,skvr04117830,skvr04117840,skvr04121100,skvr04121110,skvr04121150,skvr04121160,skvr04121170,skvr04121180,skvr04121200,skvr04121750,skvr04123910,skvr04124800,skvr04124810,skvr04125290,skvr04125540,skvr04125570,skvr04126750,skvr04127320,skvr04127410,skvr04127530,skvr04127840,skvr04127850,skvr04128340,skvr04128710,skvr04131220,skvr04131800,skvr04132090,skvr04132220,skvr04134880,skvr04135050,skvr04136670,skvr04136680,skvr04136700,skvr04138670,skvr04139410,skvr04139610,skvr04139620,skvr04140020,skvr04145890,skvr05113170,skvr05113180,skvr05113280,skvr05108700,skvr05108710,skvr05108720,skvr05108740,skvr05108750,skvr05108760,skvr05108770,skvr05108780,skvr05108790,skvr05108810,skvr05108820,skvr05108830,skvr05108840,skvr05108850,skvr05108860,skvr05108870,skvr05108880,skvr05108890,skvr05108900,skvr05108910,skvr05108920,skvr05108930,skvr05108951,skvr05108950,skvr05108960,skvr05108970,skvr05108980,skvr05108990,skvr05109000,skvr05109020,skvr05210930,skvr05210960,skvr05210982,skvr05210990,skvr05211010,skvr05223970,skvr05301760,skvr05301770,skvr05301781,skvr05301780,skvr06103650,skvr06103660,skvr06103670,skvr06103680,skvr06103960,skvr06109490,skvr07109300,skvr07113220,skvr07113230,skvr07113240,skvr07113250,skvr07113260,skvr07114700,skvr07127370,skvr13010290,skvr13010330,skvr13011400,skvr13011630,skvr13011640,skvr13011650,skvr13011660,skvr13011670,skvr13011680,skvr13011690,skvr13011700,skvr13011710,skvr13011720,skvr13011730,skvr13011740,skvr13011750,skvr13011760,skvr13011770,skvr13011780,skvr13011790,skvr13011800,skvr13011810,skvr13011820,skvr13011830,skvr13011840,skvr13011850,skvr13011860,skvr13011870,skvr13011880,skvr13012290,skvr13014140,skvr13015181,skvr13015180,skvr13027111,skvr13030180,skvr13030290,skvr13104810,skvr13104830,skvr13104840,skvr13104860,skvr15112830,skvr15112980,skvr15108900,skvr15109120,skvr15109180,skvr15109310,skvr15109320,skvr15109330,skvr15109340,skvr15109350,skvr15109360,skvr15109370,skvr15109380,skvr15109390,skvr15109400,skvr15109410,skvr15109420,skvr15109430,skvr15109440,skvr15109450,skvr15109460,skvr15109470,skvr15109480,skvr15109490,skvr15109500,skvr15109510,skvr15109520,skvr15109560,skvr15109570
t010100_3360	Sotamiesten pilaama tyttö	skvr03110950,skvr03101550,skvr03123000,skvr03127710,skvr04113380,skvr04102740,skvr04106210,skvr04134450,skvr04134460,skvr04134470,skvr05210800,skvr13011700,skvr13011890,skvr13013360,skvr13015170
t010100_3370	Sotasanomat	skvr03102521,skvr03102520,skvr03102530,skvr03102540,skvr03104700,skvr03104890,skvr03105010,skvr03105320,skvr03105430,skvr03100600,skvr03109760,skvr03109770,skvr03109790,skvr03109800,skvr03109810,skvr03109820,skvr03109830,skvr03113811,skvr03113810,skvr03113820,skvr03113830,skvr03113840,skvr03113850,skvr03113860,skvr03113870,skvr03113880,skvr03113890,skvr03113900,skvr03113910,skvr03113920,skvr03113950,skvr03118160,skvr03118480,skvr03118660,skvr03118690,skvr03121220,skvr03122110,skvr03122750,skvr03123750,skvr03125960,skvr03126950,skvr03127220,skvr03127370,skvr03128950,skvr03129200,skvr03129210,skvr03131580,skvr03132000,skvr03132870,skvr03133640,skvr03133760,skvr03134680,skvr03134690,skvr03136340,skvr03137180,skvr03137650,skvr03138280,skvr03140440,skvr03141000,skvr04111770,skvr04111780,skvr04111790,skvr04111800,skvr04111810,skvr04113410,skvr04113740,skvr04114230,skvr04114300,skvr04103720,skvr04105730,skvr04105940,skvr04106610,skvr04107940,skvr04115370,skvr04117300,skvr04117380,skvr04118180,skvr04118590,skvr04120970,skvr04120980,skvr04120990,skvr04121000,skvr04121010,skvr04121020,skvr04121040,skvr04121050,skvr04121060,skvr04121070,skvr04121080,skvr04121140,skvr04124730,skvr04124840,skvr04125410,skvr04126200,skvr04126730,skvr04126740,skvr04127290,skvr04127570,skvr04129890,skvr04129970,skvr04131140,skvr04131470,skvr04132230,skvr04136350,skvr04136360,skvr04136370,skvr04136390,skvr04137700,skvr04138490,skvr04140440,skvr04141500,skvr04146580,skvr05108780,skvr05109040,skvr05109050,skvr05109060,skvr05109070,skvr05109080,skvr05109090,skvr05109100,skvr05109110,skvr05109120,skvr05109130,skvr05109140,skvr05109150,skvr05109160,skvr05109170,skvr05109180,skvr05109300,skvr05210981,skvr05301791,skvr05301790,skvr05301801,skvr05301800,skvr05301811,skvr05301810,skvr05301821,skvr05301820,skvr05301830,skvr13011900,skvr13011910,skvr13011920,skvr13011930,skvr13011940,skvr13011950,skvr13011960,skvr13011970,skvr13011980,skvr15109130,skvr15109140,skvr15109150,skvr15109160,skvr15109170,skvr15109180,skvr15109190,skvr15109200,skvr15109210,skvr15109220,skvr15109230,skvr15109240,skvr15109250,skvr15109260,skvr15109270,skvr15109280,skvr15109290,skvr15109300,skvr15109340,skvr15109420
